Surface tension in mN * m-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr,100,P1,733,893,1%,171.3,-0.025,,,,,
AgBr-AgCl,0-100,P1,733,973,,216.4,-0.052,,,,"For 100% AgCl, the results have been advanced as the recommended data set.",
AgBr-AgCl,10-90,P1,773,883,,205.23,-0.04182,,,,,
AgBr-AgCl,20-80,P1,773,883,,198.41,-0.03727,,,,,
AgBr-AgCl,30-70,P1,773,883,,192.6,-0.03364,,,,,
AgBr-AgCl,40-60,P1,773,883,,187.69,-0.0309,,,,,
AgBr-AgCl,50-50,P1,773,883,,181.37,-0.02636,,,,,
AgBr-AgCl,60-40,P1,773,883,,177.67,-0.02455,,,,,
AgBr-AgCl,70-30,P1,773,883,,174.07,-0.02273,,,,,
AgBr-AgCl,80-20,P1,773,883,,170.06,-0.02,,,,,
AgBr-AgCl,90-10,P1,773,883,,167.25,-0.01818,,,,,
AgBr-AgCl,100-0,P1,733,893,,171.3,-0.025,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-AgI,0-100,P1,773,873,,134.08,-0.023,,,,"For 100% AgI, the results have been advanced as the recommended data set.",
AgBr-AgI,10-90,P1,773,873,,140.04,-0.028,,,,,
AgBr-AgI,20-80,P1,773,873,,142.44,-0.028,,,,,
AgBr-AgI,30-70,P1,773,873,,148.34,-0.032,,,,,
AgBr-AgI,40-60,P1,773,873,,152.21,-0.033,,,,,
AgBr-AgI,50-50,P1,773,873,,158.03,-0.036,,,,,
AgBr-AgI,60-40,P1,773,873,,164.05,-0.039,,,,,
AgBr-AgI,70-30,P1,773,873,,167.27,-0.038,,,,,
AgBr-AgI,80-20,P1,773,873,,169.26,-0.035,,,,,
AgBr-AgI,90-10,P1,773,873,,168.25,-0.028,,,,,
AgBr-AgI,100-0,P1,733,893,,171.3,-0.025,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-KBr,20-80,P1,973,1023,,173.83,-0.07999,,,,,
AgBr-KBr,30-70,P1,973,1023,,174.83,-0.07999,,,,,
AgBr-KBr,40-60,P1,973,1023,,155.37,-0.05999,,,,,
AgBr-KBr,50-50,P1,973,1023,,156.37,-0.05999,,,,,
AgBr-KBr,60-40,P1,973,1023,,158.37,-0.05999,,,,,
AgBr-KBr,70-30,P1,973,1023,,162.37,-0.05999,,,,,
AgBr-KBr,80-20,P1,973,1023,,189.82,-0.07998,,,,,
AgBr-KBr,90-10,P1,973,1023,,203.83,-0.07999,,,,,
AgBr-KBr,100-0,P1,733,1023,,171.3,-0.025,,,,"For 100% AgBr, the results have been advanced as the recommended data set.",
AgBr-KCl,0-100,P1,1070,1180,,172.39,-0.071,,,,"For 100% KCl, the results are approx. 1% lower than the recommended data set, i.e.: 1070 K, -0.9%, 1180 K, -0.7%.",
AgBr-KCl,10-90,P1,1080,1140,,183.89,-0.0837,,,,,
AgBr-KCl,20-80,P1,1010,1120,,176.04,-0.075,,,,,
AgBr-KCl,30-70,P1,990,1090,,175.43,-0.0742,,,,,
AgBr-KCl,40-60,P1,880,1060,,172.93,-0.0687,,,,,
AgBr-KCl,50-50,P1,830,1030,,172.46,-0.066,,,,,
AgBr-KCl,60-40,P1,770,960,,176.5,-0.0679,,,,,
AgBr-KCl,70-30,P1,690,900,,173.61,-0.0596,,,,,
AgBr-KCl,90-10,P1,690,920,,179.66,-0.0505,,,,,
AgBr-KCl,100-0,P1,730,1000,,188.9,-0.0399,,,,"For 100% AgBr, the departures from the recommended data set are: 760 K, +4.1%,900 K, +2.8%.",
AgBr-NaBr,0-100,P1,1060,1180,,173.472,-0.068195,,,,"For 100% NaBr, the departures from the recommended data set are: 1060 K, +0.05%, 1170 K, +1.6%.",
AgBr-NaBr,10-90,P1,1020,1180,,186.48,-0.078221,,,,,
AgBr-NaBr,30-70,P1,980,1120,,183.874,-0.072324,,,,,
AgBr-NaBr,50-50,P1,960,1120,,178.118,-0.061527,,,,,
AgBr-NaBr,70-30,P1,840,1020,,180.177,-0.055568,,,,,
AgBr-NaBr,80-20,P1,840,1000,,190.705,-0.060253,,,,,
AgBr-NaBr,90-10,P1,780,1000,,186.921,-0.048467,,,,,
AgBr-NaBr,100-0,P1,760,1000,,188.918,-0.039969,,,,"For 100% AgBr, the departures from the recommended data set are: 760 K, +4.1%,900 K, +2.8%.",
AgBr-NaCl,0-100,P1,1100,1200,,211.509,-0.090033,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, +0.3%, 1260 K, -1.3%.",
AgBr-NaCl,10-90,P1,1060,1180,,206.472,-0.086371,,,,,
AgBr-NaCl,20-80,P1,1060,1160,,212.169,-0.090857,,,,,
AgBr-NaCl,30-70,P1,1020,1140,,190.282,-0.071089,,,,,
AgBr-NaCl,50-50,P1,980,1100,,189.783,-0.066856,,,,,
AgBr-NaCl,70-30,P1,940,1080,,204.214,-0.075125,,,,,
AgBr-NaCl,80-20,P1,900,1020,,207.201,-0.075435,,,,,
AgBr-NaCl,90-10,P1,940,1020,,211.933,-0.073619,,,,,
AgBr-NaCl,100-0,P1,760,1000,,188.918,-0.039969,,,,"For 100% AgBr, the departures from the recommended data set are: 760 K, +4.1%,900 K, +2.8%.",
AgCl,100,P1,733,973,1%,216.4,-0.052,,,,,
AgCl-KBr,0-100,P1,1030,1140,,167.9,-0.0753,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, +3.0%,1140 K, +2.8%.",
AgCl-KBr,10-90,P1,1040,1120,,167.51,-0.0734,,,,,
AgCl-KBr,20-80,P1,1000,1140,,163.67,-0.0682,,,,,
AgCl-KBr,30-70,P1,940,1080,,168.95,-0.0705,,,,,
AgCl-KBr,40-60,P1,910,1030,,180.67,-0.0789,,,,,
AgCl-KBr,50-50,P1,810,860,,165.85,-0.0593,,,,,
AgCl-KBr,64.9-35.1,P1,710,900,,180.73,-0.0646,,,,,
AgCl-KBr,70-30,P1,680,870,,186.08,-0.0662,,,,,
AgCl-KBr,80-20,P1,690,870,,194.69,-0.0672,,,,,
AgCl-KBr,90-10,P1,720,870,,198.28,-0.0573,,,,,
AgCl-KBr,100-0,P1,740,970,,224.6,-0.0564,,,,"For 100% AgCl, the departures from the recommended data set are: 740 K, +2.8%,970 K, +2.4%.",
AgCl-KCl,40-60,P1,873,973,,177.11,-0.07,,,,,
AgCl-KCl,50-50,P1,873,973,,189.84,-0.08,,,,,
AgCl-KCl,60-40,P1,873,973,,194.84,-0.08,,,,,
AgCl-KCl,70-30,P1,873,973,,192.11,-0.07,,,,,
